序号,UID,测试名称,指标名称,函数,维度,错误信息,分类,状态
3370,b92316a513ef3840,testTitanQueryVsQueryService,one.rum.net.request.tcp,subModuleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3371,8fb3b35dff7a3bae,testTitanQueryVsQueryService,one.rum.net.request.tcp,userGroupId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3372,ee0ff6abe3fbfeae,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,accessModelId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3373,16b6389fa8b5ec75,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,appId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3374,4aabb4c912bac282,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,appType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3375,3139355762e9a7d5,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,appVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3376,ab0926c61a7fd7d6,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,cdnName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3377,b035c303fa95fc26,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,channel,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3378,99186f8390f28fd7,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,cityId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3379,ca1aadd7d99cfd88,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,countryId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3380,2de3b6156085d140,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,dataCenterId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3381,1170e6c8c6091f17,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,dataSource,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3382,4dd19096aa0107d5,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,districtId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3383,864c10f796702432,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,envId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3384,bde594451719ee50,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,metaType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3385,7b61439974c5e935,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,moduleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3386,398ed4af9d275f1,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,netserviceId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3387,8048e4004551ccb0,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,pageName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3388,3d071f08a3e061e0,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,pageId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3389,3a40a94dbb022a39,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,sdkVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3390,a3fc45fa98245ba2,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,serviceDetectedName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3391,a3976119830e396f,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,subModuleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3392,c107821d0a70cbdc,testTitanQueryVsQueryService,one.rum.net.request.errorRatio,userGroupId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3393,6a94d75235453e7f,testTitanQueryVsQueryService,one.rum.net.request.errorCount,accessModelId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3394,d0e71ce3e56ae795,testTitanQueryVsQueryService,one.rum.net.request.errorCount,appId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3395,8fc197fe9a51fed7,testTitanQueryVsQueryService,one.rum.net.request.errorCount,appType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3396,1b316f676e6bc996,testTitanQueryVsQueryService,one.rum.net.request.errorCount,appVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3397,9b3f98dae417b09d,testTitanQueryVsQueryService,one.rum.net.request.errorCount,cdnName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3398,a0572d26c20a49ca,testTitanQueryVsQueryService,one.rum.net.request.errorCount,channel,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3399,ec13c6e5623e9389,testTitanQueryVsQueryService,one.rum.net.request.errorCount,cityId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3400,5911097eb37017a3,testTitanQueryVsQueryService,one.rum.net.request.errorCount,countryId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3401,4da172f12e807d9b,testTitanQueryVsQueryService,one.rum.net.request.errorCount,dataCenterId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3402,92d75d4fc02e07f,testTitanQueryVsQueryService,one.rum.net.request.errorCount,dataSource,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3403,a12d7efb1d704094,testTitanQueryVsQueryService,one.rum.net.request.errorCount,districtId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3404,3ea1c5b77abe172c,testTitanQueryVsQueryService,one.rum.net.request.errorCount,envId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3405,57b462746c23b586,testTitanQueryVsQueryService,one.rum.net.request.errorCount,metaType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3406,ec131a6956ba44ea,testTitanQueryVsQueryService,one.rum.net.request.errorCount,moduleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3407,2d33b3d851872,testTitanQueryVsQueryService,one.rum.net.request.errorCount,netserviceId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3408,4d0958b2c500f38d,testTitanQueryVsQueryService,one.rum.net.request.errorCount,pageId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3409,96be6e32e6ebd59e,testTitanQueryVsQueryService,one.rum.net.request.errorCount,pageName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3410,72bcdd74d51fb4b7,testTitanQueryVsQueryService,one.rum.net.request.errorCount,sdkVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3411,8ec02e8630d17c47,testTitanQueryVsQueryService,one.rum.net.request.errorCount,serviceDetectedName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3412,cbccc1a4620cfbd0,testTitanQueryVsQueryService,one.rum.net.request.errorCount,subModuleName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3413,76c241095dbeedc,testTitanQueryVsQueryService,one.rum.net.request.errorSessionCount,accessModelId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3414,472d3cf90ad3adff,testTitanQueryVsQueryService,one.rum.net.request.errorCount,userGroupId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3415,9124d0aca8c01372,testTitanQueryVsQueryService,one.rum.net.request.errorSessionCount,appId,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3416,bdb3b0c1efe1116c,testTitanQueryVsQueryService,one.rum.net.request.errorSessionCount,appType,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3417,da8cb74291a8c9f3,testTitanQueryVsQueryService,one.rum.net.request.errorSessionCount,appVersion,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
3418,6af05f5cf3d25afb,testTitanQueryVsQueryService,one.rum.net.request.errorSessionCount,cdnName,,"分组查询: 结果行数不一致 - titan-query=2, query-service=0 expected [0] but found [2]",Product defects,failed
